N,Insertion_shuffled,Insertion_10%,Insertion_5,Shell_shuffled,Shell_10%,Shell_5,ShellA168604_shuffled,ShellA168604_10%,ShellA168604_5,ShellA003462_shuffled,ShellA003462_10%,ShellA003462_5,ShellA033622_shuffled,ShellA033622_10%,ShellA033622_5
20,0.00044712399999996544,0.00023583199999999138,0.00034358799999995027,0.00025664699999999874,0.0001561479999999671,0.00020843100000000891,0.00016957800000000356,0.0001335329999999635,0.00014585400000000082,0.00016423799999998323,0.00011413699999995863,0.00014570099999999808,0.00012801200000001067,8.871100000001908e-05,0.00010388399999999853
40,0.0017712659999999936,0.0009107620000000094,0.0009897600000000062,0.000858746999999993,0.00044168499999996946,0.00048363800000000845,0.00038931700000000014,0.00032817100000004373,0.00034453400000000745,0.00033971799999998886,0.0002665479999999776,0.0002848010000000012,0.0003872429999999816,0.00024356100000000325,0.0002552889999999919
80,0.006524892000000004,0.0029893489999999745,0.0029948539999999912,0.002781304999999956,0.001061860000000081,0.001063861999999971,0.0009990830000000672,0.0008538759999999757,0.0007666729999999955,0.0008981319999999959,0.0007422970000000584,0.0007476899999999675,0.0008056309999999733,0.0005607699999999882,0.0005852250000000225
160,0.028154548,0.013330403999999962,0.010007867999999975,0.010631005000000027,0.0038131649999999517,0.002323232000000064,0.002330271999999911,0.0020039830000000425,0.0017990549999999939,0.002354548000000012,0.001821613999999916,0.0014483329999999128,0.0019355009999999506,0.0015749339999999723,0.0012417089999999797
320,0.112993067,0.05015136600000014,0.036357792,0.03962453900000007,0.011455565999999973,0.005407168999999934,0.005722667999999986,0.005700873999999967,0.005101983999999948,0.007923053000000069,0.007626702000000041,0.0041089519999999435,0.005265835999999968,0.004321760000000063,0.003070327000000095
640,0.497989966,0.20952145600000005,0.14795397100000018,0.19313091999999976,0.0474662970000006,0.01235307600000013,0.015841569,0.013400557000000646,0.010324708999999821,0.015000051999999542,0.012158490000000022,0.008265029999999562,0.013708258000000306,0.011527780000000654,0.007762334999999787
1280,2.046858943,0.9271159230000006,0.6149099929999995,0.8467137329999979,0.21240324600000093,0.030268219999999957,0.03847177999999829,0.0346191090000012,0.023224587000001407,0.039315129000002,0.031133633999999688,0.019914461999999133,0.03450462500000029,0.029723546999999684,0.019502024000001228
2560,8.052803700999998,3.6913312550000015,2.4258727140000005,3.2526920369999957,0.7861530800000054,0.062418461999996566,0.08686916700000324,0.07729905200000076,0.05161326700000757,0.09463317499999846,0.07467256699999325,0.04173223700000506,0.0736423320000057,0.06454048599999851,0.038090918000008855
5120,31.30220638599998,14.847207957999984,9.714462921000006,12.773202378000008,3.1458767299999977,0.13207830100003548,0.20646322199996803,0.17638035100003435,0.1093723389999468,0.20374543799999856,0.1660565860000247,0.08785787900001196,0.16679730100003098,0.14984704199997623,0.08812786900000447
10240,126.959750525,58.755262166999955,38.261953850000054,50.798866865000036,12.064462766000133,0.277397381000128,0.4559909049999078,0.40555477399993833,0.23430822900013482,0.4544488869998986,0.3983772649999082,0.15877445499995702,0.36522501300009935,0.33294680600010906,0.18805245299995477
