N,BST_search_ordered,BST_search_shuffled,BST_delete_ordered,BST_delete_shuffled,AVL_search_ordered,AVL_search_shuffled,AVL_delete_ordered,AVL_delete_shuffled,RB_search_ordered,RB_search_shuffled,RB_delete_ordered,RB_delete_shuffled
20,0.0011037259999999716,0.0006377750000000071,0.0009942069999999692,0.0006731500000000112,0.0028639979999999787,0.0024819690000000283,0.003082855000000051,0.0027754459999999592,0.00381163499999998,0.0035877149999999913,0.00394185800000002,0.0035093510000000494
40,0.0030562210000000256,0.0013369859999999845,0.0028534680000000257,0.001319752999999979,0.011166752000000002,0.007770133999999984,0.00627670800000002,0.005298534999999993,0.004933832999999943,0.00459517399999998,0.005696244000000017,0.005518601999999984
80,0.012284497999999977,0.003012624999999991,0.009918552999999997,0.0028979919999999604,0.008881396000000041,0.010818839999999996,0.010473769000000077,0.008983434000000012,0.008608112000000001,0.008415697999999971,0.009431960000000017,0.009089287000000001
160,0.03191928300000002,0.005546936000000002,0.02111865699999993,0.003592954000000037,0.019959669000000013,0.019022718000000105,0.021577972999999973,0.021412792000000014,0.01965422800000005,0.018561373000000048,0.021373297000000013,0.020387115999999983
320,0.07403375000000001,0.007651202000000024,0.07412994900000003,0.008128726999999891,0.044059341000000085,0.04223964899999988,0.047097262999999945,0.04519689700000007,0.05056595500000016,0.04155628800000022,0.04664864599999996,0.04519431099999993
640,0.2784367219999999,0.016570057999999888,0.27776722200000004,0.018407906000000196,0.09768152299999988,0.09332746500000022,0.10459162499999941,0.10259755900000034,0.09762422299999951,0.09406924999999955,0.10577326899999928,0.10222512499999947
1280,1.0881945350000004,0.04406438600000051,1.1012350160000004,0.0468399710000007,0.22277211299999955,0.2168587320000004,0.2413446490000002,0.23578337899999902,0.22334699199999974,0.21544731599999878,0.2409736210000002,0.2360802150000012
