N,BST_search_ordered,BST_search_shuffled,BST_delete_ordered,BST_delete_shuffled,AVL_search_ordered,AVL_search_shuffled,AVL_delete_ordered,AVL_delete_shuffled
20,0.0005213079999999981,0.0003438159999999968,0.0005604169999999797,0.0004120599999999919,0.0039685810000000266,0.001792016999999979,0.0022808089999999948,0.0021940269999999873
40,0.001588813999999994,0.0007794790000000273,0.003157488999999958,0.0012187149999999813,0.005976269000000034,0.006309723999999961,0.004374880000000025,0.003620287
80,0.006593976000000001,0.0024402849999999865,0.009078586999999971,0.001871763999999998,0.00862189699999999,0.007813527999999959,0.009185087999999952,0.008618608000000028
160,0.021112501000000006,0.003116457000000017,0.018044850999999973,0.0033619939999999793,0.019220605,0.01963943800000001,0.02171019900000004,0.02139512099999996
320,0.069089858,0.007739334000000042,0.07112795700000007,0.008252094999999793,0.04552358199999995,0.0434925810000002,0.04845506700000013,0.04870777500000001
